User ID;Revenue
4b4d88f0;1.99
7d110c3e;19.99
04fcc0c5;2.49
bd817a46;2.99
dc5f6f9d;3.49
c46abda4;4.99
4c01d772;3.99
9e03bc21;4.49
d16b8abf;5.49
4141c7f3;49.99
030f2830;99.99
88d98551;1.99
6d1e1bb0;1.49
d99cd6af;7.99
c6d882d1;8.49
0450b06d;8.99
51ef2537;9.49
6f459ac0;9.99
9b9aca8a;14.99
3b2ed24c;19.99
aea2bc36;29.99
15f384e7;49.99
bab60b3c;99.99
ce5fc0a8;1.99
ff87f5ee;1.49
d6721f0c;2.49
961af190;2.99
e22d9102;3.49
b57e249a;4.99
149ee772;3.99
c23710cc;4.49
555b02cb;5.49
94b452b2;5.99
4d793e6b;6.49
9c1295b3;6.99
6357fdf6;7.49
aa086526;7.99
fd5c510d;8.49
ab5a1019;8.99
d970e0fb;9.49
7f6e1bc1;9.99
b42585f2;14.99
c8a45598;19.99
f21ee84e;29.99
d0796d3f;49.99
2f38586d;99.99
06be7af3;1.99
ddd7e904;1.49
700e5a63;49.99
a6a80e88;99.99
5976684e;1.99
19b59d59;1.49
12b9f09e;3.99
1d173378;49.99
1752f2f5;99.99
fa25b229;1.99
3a0fdfbb;1.49
4e5c75be;6.99
d564c3a7;7.49
1aa9d999;7.99
464dd18d;8.49
a0e12b77;8.99
bd657521;9.49
1c749d93;9.99
98e36bbd;14.99
ea3c2def;19.99
6dfff7db;29.99
6d4b281e;49.99
537c8ca6;99.99
6f1dd210;1.99
76d0fdd6;1.49
e2c3f303;2.49
a0ea6d6b;2.99
13a26931;3.49
bb451081;4.99
69845b72;3.99
722e3502;4.49
5e37c632;5.49
965ff0fa;14.99
4a019e43;6.49
65479d60;6.99
1c0e01e4;14.99
d8171bea;7.99
a339a979;8.49
a6fb29f1;14.99
e41e9b3f;9.49
ce4c8ea6;9.99
2c6350f0;14.99
9ce4fbe2;19.99
3314055f;29.99
f80276f4;49.99
2b9f8b53;99.99
ca18dc78;1.99
fe2136f6;1.49
61a1688a;2.49
af48ebc5;2.99
12a2a418;3.49
9d7717d6;4.99
fd3272d0;14.99
7e1a265d;4.49